id,source,date,rating,feedback,sentiment,customer_segment,country
472,NPS Response,2026-01-30,3,"it does what i need. nothing spectacular, but not broken either.",Neutral,SMB,India
473,App Store Review,2026-03-07,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,US
474,Support Ticket,2026-02-11,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Negative,SMB,India
475,NPS Response,2025-09-10,5,Honestly the best PM tool I've used. Switched from Asana and haven't looked back.,Positive,Startup,US
476,Google Play Review,2025-10-21,3,Works fine for basic stuff. Not sure it justifies the price vs. free alternatives.,Neutral,Enterprise,US
477,NPS Response,2026-03-22,2,Would rate higher if there were more integrations. Would rate lower if it crashed more. So... middle.,Neutral,SMB,US
478,Google Play Review,2025-07-17,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved asme day.,Positive,SMB,US
479,Google Play Review,2025-07-23,5,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,Canada
480,App Store Review,2025-05-16,1,"Onboarding was a nightmare. No guided tour, no sample data, just a blank workspace and good luck.",Negative,SMB,India
481,Support Ticket,2025-12-21,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Negative,Enterprise,India
482,G2 Review,2025-04-19,4,The Slack integration works well for us. Comments sync back both ways.,Positive,SMB,UK
483,App Store Review,2025-11-28,1,The recent price hike with no warning was really dsiappointing. Trust broken.,Negative,Enterprise,Canada
484,G2 Review,2026-02-07,4,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,US
485,App Store Review,2025-07-15,2,No way to bulk move tasks between projects. I'm copy-pasting manually like a peasant.,Negative,Enterprise,US
486,App Store Review,2026-02-03,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,US
487,NPS Response,2025-11-06,5,Onboarded our 50-person team in a week. The templates were really helpful. 👌,Positive,Startup,US
488,G2 Review,2026-02-10,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,Startup,US
489,Google Play Review,2026-02-09,2,Reliable for day-to-day work. Advanced use cases require workarounds.,Neutral,Startup,India
490,Support Ticket,2026-02-07,,Closing this ticket - your engineer's fix worked perfectly. Really appreciate the fast turnaround.,Positive,Enterprise,UK
491,App Store Review,2025-09-06,1,Reporting limitations are killing us. Leadership wants rolled-up views and we can't deliver them. The HubSpot integration stopped working after their API update and has been broken for 6 weeks.,Negative,Startup,US
492,G2 Review,2025-09-29,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,Enterprise,India
493,NPS Response,2025-12-14,5,"Dashboards, automations, integrations - it all just works. Really happy customer. Really grateful.",Positive,Enterprise,US
494,Support Ticket,2025-05-31,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Negative,SMB,UK
495,G2 Review,2026-02-05,2,"The analytics are surface level. Would love time-tracking rollups, estimated vs actual comparison, etc.",Negative,Startup,UK
496,Support Ticket,2025-04-27,,Export to CSV truncates long text fields. Need full content for our audit.,Negative,Enterprise,Canada
497,Support Ticket,2025-06-20,,2FA reset request: lost access to authenticator app. Can someone verify my identity and reset?,Negative,SMB,US
498,G2 Review,2025-05-29,3,Would rate higher if there were more integrations. Would rate lower if it crashed more. So... middle.,Neutral,Startup,India
499,Support Ticket,2025-07-11,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Neutral,SMB,US
500,Support Ticket,2026-02-01,,Our enterprise contract should include the Advanced Reporting add-on but it's not showing as enabled. Please check.,Neutral,SMB,India
501,App Store Review,2026-01-05,2,Desperately need a 'digest mode' for notifications. Getting pinged 50 times an hour is not productive.,Negative,Startup,US
502,App Store Review,2026-03-09,3,"It does what I need. Nothing spectacluar, but not broken either.",Neutral,SMB,US
503,Support Ticket,2026-01-02,,Search returns no results even when I search for exact task names. Index issue?,Negative,SMB,UK
504,App Store Review,2026-01-17,2,Bulk actions are severely limited - can change assignee but not due dates or custom fields. Why? Slow. So slow. I've timed it at 8 seconds to load my main board. That's unacceptable in 2026.,Negative,Startup,US
505,App Store Review,2025-11-16,2,bulk edit is practically useless. can barely do anything in multi-select mode,Negative,Enterprise,US
506,Google Play Review,2026-01-01,3,works fine for basic stuff. not sure it justifies the price vs. free alternatives.,Neutral,SMB,US
507,NPS Response,2025-11-07,2,Notification settings are all-or-nothing. Either I get everything or nothing. There's no middle.,Negative,SMB,US
508,Google Play Review,2025-06-10,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,SMB,US
509,Google Play Review,2025-10-21,2,Disappointed.,Negative,SMB,US
510,Support Ticket,2025-11-16,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Negative,Startup,US
511,Support Ticket,2025-09-28,,"Hi, I cannot log in since the last update. Keeps saying 'session expired' even after password reset. Please help.",Negative,Startup,US
512,NPS Response,2026-02-08,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,SMB,US
513,Support Ticket,2026-03-21,,Following up to thank the team for the webhook fix last week. Rock solid since then.,Positive,Enterprise,US
514,G2 Review,2026-02-01,2,notifications are out of control. i get 200+ emails a day. no granular controls at all.,Negative,Enterprise,US
515,Google Play Review,2025-11-08,2,Reporting is laughably limited. You can't even group by two fields. Forced to export to Excel every week.,Negative,Enterprise,India
516,NPS Response,2026-01-05,1,Performance regression after the March release. Boards that loaded instantly now take 5+ seconds.,Negative,Startup,India
517,G2 Review,2025-11-02,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,US
518,App Store Review,2025-06-18,2,"Great value for small teams, but slow. so slow. i've timed it at 8 seconds to load my main board. that's unacceptable in 2026.",Neutral,Enterprise,India
519,G2 Review,2025-09-05,1,canceling soon I get notified when anything happens anywhere. Turning off notifications means missing actual mentions. Broken.,Negative,Startup,US
520,NPS Response,2025-11-24,1,i literally cannot use this on my phone. keeps logging me out every few hours Gantt functionality is years behind MS Project or even Smartsheet. Big gap.,Negative,Startup,Canada
521,Support Ticket,2025-09-03,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,SMB,US
522,App Store Review,2025-09-02,2,Tried to cancel my subscription and it took 4 steps and a live chat to do it. Dark patterns. Loading spinners everywhere. This used to be snappy - what happened?,Negative,SMB,India
523,NPS Response,2025-04-26,2,Search function barely works. Can't find tasks I know exist.,Negative,SMB,US
524,Support Ticket,2026-02-04,,Need data export for our compliance team. How long does a full workspace export typically take?,Neutral,SMB,Canada
525,G2 Review,2025-08-18,5,Huge fan of the automation rules. We've automated so much of our recurring work.,Positive,SMB,US
526,App Store Review,2025-07-08,5,Our remote team relies on this daily. It's the backbone of our async culture. Really grateful.,Positive,SMB,US
527,NPS Response,2025-04-28,3,"Average tool in a crowded market. You could do worse, you could do better.",Neutral,Startup,US
528,Support Ticket,2025-04-28,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Neutral,SMB,US
529,Google Play Review,2026-01-18,5,"The kanban views are beautifully done. Smooth drag and drop, nice animations, responsive.",Positive,SMB,Australia
530,Google Play Review,2026-02-06,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,SMB,US
531,G2 Review,2025-11-07,3,I use it because I have to. It works. That's my review.,Neutral,SMB,US
532,Google Play Review,2025-09-24,2,Solid middle-of-the-road PM tool. Not sure I'd pay for it if it were my money.,Neutral,Startup,Canada
533,G2 Review,2025-12-19,3,pretty standard project management tool. has most features you'd expect.,Neutral,Enterprise,Australia
534,Support Ticket,2025-05-14,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Neutral,SMB,UK
535,App Store Review,2026-04-10,2,I get that you need to make money but $40/seat for what's basically a to-do list is steep.,Negative,Startup,US
536,App Store Review,2025-09-13,3,Solid middle-of-the-road PM tool. Not sure I'd pay for it if it were my money.,Neutral,Enterprise,UK
537,NPS Response,2025-12-18,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,SMB,Australia
538,NPS Response,2025-07-23,2,Too expensive for small teams. We're a 5-person startup and this is eating our budget. Slow. So slow. I've timed it at 8 seconds to load my main board. That's unacceptable in 2026.,Negative,Startup,India
539,G2 Review,2025-06-26,3,"Dashboards, automations, integrations - it all just works, but performance regression after the march release. boards that loaded instantly now take 5+ seconds.",Neutral,SMB,UK
540,Google Play Review,2025-11-21,1,Had to watch 4 YouTube videos (not yours) just to set up a basic kanban board. Insane. no way to schedule reports or email them. every week i manually export and send. stupid,Negative,Enterprise,India
541,App Store Review,2025-11-20,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,SMB,India
542,G2 Review,2025-12-08,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,SMB,US
543,App Store Review,2025-07-22,2,Can you please invest in the mobile experience? Half our field team uses phones and it barely works.,Negative,Startup,US
544,G2 Review,2025-05-27,1,I waited 22 seconds for my portfolio view to load yesterday. I actually counted. Something is deeply wrong.,Negative,SMB,India
545,App Store Review,2025-07-20,5,I'm a power user and this tool handles every edge case I've thrown at it. Keep it up!,Positive,SMB,UK
546,Google Play Review,2025-05-04,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM. Highly recommend.",Positive,SMB,Canada
547,G2 Review,2025-05-18,1,why is sso gated behind the top tier?? basic security should not be a premium feature,Negative,Startup,US
548,Support Ticket,2026-01-16,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Negative,SMB,India
549,Google Play Review,2025-06-05,2,The dashboard is painfully slow when you have more than 500 tasks. My team complains about it constantly. The mobile app crashes every single time I try to attach a file. Reported this 3 months ago. Nothing.,Negative,Startup,US
550,App Store Review,2025-07-03,2,"Dashboards, automations, integrations - it all just works, but the timeline is basically a bar chart. not a gantt. stop calling it one in your marketing.",Neutral,SMB,Australia
551,G2 Review,2025-05-12,2,android app force closes whenever i try to edit a task. unusable on mobile rn,Negative,Startup,US
552,NPS Response,2026-03-14,1,i literally cannot use this on my phone. keeps logging me out every few hours,Negative,Enterprise,US
553,Support Ticket,2026-02-04,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Neutral,Startup,UK
554,Support Ticket,2026-03-12,,Automation rules stopped executing after I edited them yesterday. Rule IDs in attached doc.,Negative,SMB,US
555,App Store Review,2025-04-25,5,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,US
556,Google Play Review,2026-04-17,2,Load times are brutal. Every time I open a large project it takes 10-15 seconds just to render the task list.,Negative,Enterprise,UK
557,Support Ticket,2026-03-21,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,SMB,US
558,NPS Response,2025-10-04,3,Works fine for basic stuff. Not sure it justifies the price vs. free alternatives.,Neutral,Startup,UK
559,NPS Response,2025-06-19,2,No custom reports. No dashboards worth looking at. Just basic pie charts from 2015.,Negative,Startup,US
560,Google Play Review,2026-03-28,2,Email notifications don't thread. My inbox is a disaster zone.,Negative,Startup,US
561,Support Ticket,2025-07-18,,Sync with Google Calendar stopped including task titles. Only shows 'New Task'. Broken since Monday.,Negative,SMB,India
562,App Store Review,2026-04-11,5,10/10.,Positive,Startup,India
563,App Store Review,2025-12-27,1,onboarding is rough. threw us into the deep end with no templates that fit our actual workflow I need a Gantt chart. A real one. With dependencies. How is this still missing?,Negative,SMB,India
564,App Store Review,2025-12-30,2,Had to watch 4 YouTube videos (not yours) just to set up a basic kanban board. Insane.,Negative,Startup,Australia
565,NPS Response,2025-06-25,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,Startup,US
566,App Store Review,2025-11-24,1,"Custom fields are so limited. No formulas, no rollups, no conditional logic. Frustrating.",Negative,Startup,India
567,Support Ticket,2025-05-26,,Reports not rendering in PDF format - PNG works fine. Chrome 134.,Neutral,SMB,US
568,Google Play Review,2025-11-15,5,The timeline view (even if i'ts not a full Gantt) works well enough for our agile squads.,Positive,Startup,Australia
569,Google Play Review,2025-06-02,2,Why is there no GitHub integration? Every dev tool has one.,Negative,SMB,UK
570,NPS Response,2025-11-24,2,"No native Slack integration in 2026? We still have to use Zapier and it's janky as hell. Custom fields are so limited. No formulas, no rollups, no conditional logic.",Negative,Startup,India
571,Google Play Review,2026-02-18,1,i need a gantt chart. a real one. with dependencies. how is this still missing?,Negative,Enterprise,UK
572,App Store Review,2025-09-19,2,"The analytics are surface level. Would love time-tracking rollups, estimated vs actual comparison, etc.",Negative,SMB,US
573,G2 Review,2025-08-27,2,the jira integration constantly breaks our workflow. fields dont map correctly,Negative,Startup,US
574,NPS Response,2025-10-25,4,great product. does what it says on the tin and the integrations with github work perfectly Keep it up!,Positive,SMB,US
575,Google Play Review,2025-08-11,2,i literally cannot use this on my phone. keeps logging me out every few hours,Negative,Startup,Australia
576,G2 Review,2025-06-20,1,The pricing just jumped 40% at renewal with zero new features. Talking to procurement about alternatives.,Negative,SMB,Australia
577,G2 Review,2025-08-08,3,"The mobile app has really improved over the last year, but notification settings are all-or-nothing. either i get everything or nothing. theer's no middle.",Neutral,SMB,US
578,Google Play Review,2025-05-11,4,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,US
579,Google Play Review,2025-10-11,4,Our remote team relies on this daily. It's the backbone of our async culture.,Positive,SMB,US
580,NPS Response,2025-06-09,4,this tool has genuinely transformed how our team works. we ship faster and miss fewer deadlines.,Positive,SMB,US
581,Support Ticket,2026-03-21,,I was charged twice for my subscription this month. Please refund. Invoice #88231.,Neutral,SMB,US
582,Support Ticket,2025-10-13,,Time tracking entries disappeared from last week. Users report entering them but none are saved.,Neutral,Enterprise,US
583,Support Ticket,2026-03-15,,Time tracking entries disappeared from last week. Users report entering them but none are saved.,Negative,Startup,UK
584,Support Ticket,2026-02-19,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Neutral,Enterprise,US
585,NPS Response,2025-05-05,4,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,US
586,Support Ticket,2025-07-23,,Time tracking entries disappeared from last week. Users report entering them but none are saved.,Negative,SMB,UK
587,G2 Review,2026-03-16,5,The API is solid. We've built several internal tools on top of it with no issues.,Positive,Enterprise,Australia
588,Google Play Review,2026-01-04,2,Works fine for basic stuff. Not sure it justifies the price vs. free alternatives.,Neutral,Startup,US
589,Support Ticket,2025-05-23,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Neutral,SMB,US
590,App Store Review,2025-06-19,1,honestly the performance has gotten worse after the last update. simple page loads feel laggy now,Negative,SMB,US
591,NPS Response,2025-11-22,4,The API is solid. We've built several internal tools on top of it with no issues.,Positive,Startup,UK
592,NPS Response,2025-05-12,1,getting new hires up to speed on this takes way too long. no in-product learning paths at all,Negative,Startup,India
593,NPS Response,2026-02-02,2,0/10,Negative,SMB,Canada
594,Support Ticket,2026-02-03,,Attachments over 10MB fail to upload with a generic error. Our workflow depends on larger files. Please advise.,Negative,SMB,UK
595,G2 Review,2025-06-29,4,Using it.,Neutral,Enterprise,India
596,NPS Response,2025-09-25,2,Took some getting used to but I'm neutral on it now. Part of my workflow.,Neutral,SMB,US
597,NPS Response,2025-09-02,2,"getting new hires up to speed on this takes way too long. no in-product learning paths at all No bulk editing. I have to update 200 tasks one by one. This is 2026, what is happening?",Negative,Startup,US
598,NPS Response,2025-10-03,3,It's fine. I wish it were faster but I wish a lot of things.,Neutral,SMB,US
599,Support Ticket,2025-07-05,,Can you clarify the data residency options for EU customers? We're going through a SOC2 audit.,Negative,SMB,US
600,App Store Review,2025-09-18,5,love love love this tool. my whole startup runs on it,Positive,Enterprise,India
601,App Store Review,2025-10-08,5,"The kanban views are beautifully done. Smooth drag and drop, nice animations, responsive.",Positive,Enterprise,UK
602,App Store Review,2025-07-09,4,great product. does what it says on the tin and the integrations with github work perfectly,Positive,Startup,US
603,Support Ticket,2025-07-06,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,Enterprise,US
604,NPS Response,2025-05-01,2,canceling soon,Negative,SMB,UK
605,NPS Response,2025-08-18,2,i get notified when anything happens anywhere. turning off notifications means missing actual mentions. broken.,Negative,Enterprise,UK
606,G2 Review,2026-03-22,3,Does the basics well. Power user features are hit or miss.,Neutral,SMB,US
607,Google Play Review,2026-01-23,5,recommend it.,Positive,Startup,US
608,Support Ticket,2025-10-15,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,Startup,India
609,App Store Review,2025-12-28,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,Enterprise,US
610,App Store Review,2025-09-17,2,No native Slack integration in 2026? We still have to use Zapier and it's janky as hell.,Negative,SMB,Australia
611,Support Ticket,2025-11-10,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Negative,Enterprise,UK
612,NPS Response,2025-04-28,1,"The analytics are surface level. Would love time-tracking rollups, estimated vs actual comparison, etc.",Negative,Enterprise,US
613,App Store Review,2026-02-22,2,The mobile app is basically read-only because editing anything causes it to freeze. Frustrating.,Negative,Enterprise,US
614,App Store Review,2026-01-03,5,Best tool we've used.,Positive,Enterprise,Canada
615,Support Ticket,2025-11-27,,Can you clarify the data residency options for EU customers? We're going through a SOC2 audit.,Negative,Startup,US
616,G2 Review,2026-01-10,2,i literally cannot use this on my phone. keeps logging me out every few hours Getting close to canceling.,Negative,Startup,US
617,G2 Review,2025-09-05,2,"The notification system is a firehose. Please let me customize per-project, per-event.",Negative,SMB,UK
618,NPS Response,2025-10-16,1,The recent UI redesign made everything worse. Took me a week to find basic features. Ugh.,Negative,Startup,US
619,NPS Response,2025-12-24,5,"Love the UI. Clean, intuitive, and my non-technical teammates picked it up in a day.",Positive,SMB,Australia
620,Support Ticket,2025-08-18,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Negative,Startup,US
621,G2 Review,2025-06-20,1,The dashboard is painfully slow when you have more than 500 tasks. My team complains about it constantly.,Negative,Startup,US
622,G2 Review,2025-08-06,5,Onboarded our 50-person team in a week. The templates were really helpful.,Positive,Startup,Australia
623,Google Play Review,2025-08-13,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,Canada
624,Support Ticket,2025-08-07,,Need data export for our compliance team. How long does a full workspace export typically take?,Negative,Startup,US
625,Google Play Review,2026-02-28,3,"The kanban views are beautifully done, but the 'business' tier gates the features you actually need. feels like a bait and switch.",Neutral,Startup,UK
626,NPS Response,2025-07-16,5,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,Startup,US
627,Support Ticket,2026-02-17,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Neutral,Enterprise,Australia
628,Support Ticket,2026-01-18,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Negative,SMB,US
629,Support Ticket,2025-09-10,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,Enterprise,US
630,App Store Review,2026-01-28,5,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,SMB,UK
631,Support Ticket,2025-05-07,,Cannot change owner of a project. 'Permission denied' even though I am admin.,Negative,SMB,US
632,Google Play Review,2025-10-06,3,It's a tool. I use it. It works mostly. That's about all I can say.,Neutral,Enterprise,UK
633,App Store Review,2025-10-28,2,getting new hires up to speed on this takes way too long. no in-product learning paths at all Slack integration is bare bones. Can't even create tasks from a message without a clunky form.,Negative,Startup,US
634,App Store Review,2025-11-07,5,"Love the UI. Clean, intuitive, and my non-technical teammates picked it up in a day.",Positive,SMB,UK
635,Support Ticket,2025-05-08,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Negative,Enterprise,US
636,Google Play Review,2026-03-11,5,The new reporting features are a huge step up. Finally got the dashboards leadership wanted.,Positive,SMB,Australia
637,G2 Review,2025-06-26,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,Enterprise,India
638,App Store Review,2025-07-16,1,Our ops team has flagged the slow load times three times this quarter. Still no improvement visible. Getting close to canceling.,Negative,Enterprise,US
639,Google Play Review,2025-06-27,4,great product. does what it says on the tin and the integrations with github work perfectly,Positive,SMB,Australia
640,Support Ticket,2025-06-08,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,Enterprise,UK
641,G2 Review,2026-03-17,3,"Honestly the best PM tool I've used, but onboarding quality is inversely proportional to the price we pay. this should be easier.",Neutral,Enterprise,US
642,NPS Response,2025-11-11,2,Gets the job done. Doesn't blow me away but doesn't annoy me either.,Neutral,Startup,US
643,Support Ticket,2026-04-04,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Neutral,Startup,US
644,Google Play Review,2025-11-17,2,solid middle-of-the-road pm tool. not sure i'd pay for it if it were my money.,Neutral,Enterprise,US
645,G2 Review,2025-08-05,3,"Decent UX, decent reporting, decent everything. Nothing stands out as great or bad.",Neutral,Startup,UK
646,G2 Review,2025-11-09,4,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,SMB,India
647,Google Play Review,2025-09-21,4,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,Startup,US
648,Google Play Review,2026-02-03,5,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,Startup,US
649,Support Ticket,2026-03-22,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,Enterprise,India
650,NPS Response,2025-09-04,3,Been using for 6 months. No strong opinion either way.,Neutral,SMB,US
651,Support Ticket,2025-11-15,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Neutral,Enterprise,Canada
652,App Store Review,2025-11-29,3,Been using for 6 months. No strong opinion either way.,Neutral,SMB,India
653,G2 Review,2025-08-02,3,"Our team uses it. No major complaints, no raving either.",Neutral,Enterprise,India
654,App Store Review,2025-05-25,5,Great value for small teams. The startup pricing tier is generous. Really grateful.,Positive,Startup,US
655,App Store Review,2026-02-11,5,"5 stars. been a customer for 4 years, they actually listen to feedback",Positive,Enterprise,India
656,G2 Review,2026-01-07,5,The new reporting features are a huge step up. Finally got the dashboards leadership wanted. Keep it up!,Positive,Enterprise,India
657,App Store Review,2026-03-04,2,"The reporting module feels like an afterthought. We need burndown, velocity, forecast - basic PM stuff.",Negative,SMB,UK
658,G2 Review,2025-07-23,1,I spent 40 minutes yesterday manually reassigning tasks because there's no bulk reassign. Madness. Gantt functionality is years behind MS Project or even Smartsheet. Big gap. Ugh.,Negative,SMB,US
659,Support Ticket,2025-12-25,,Need data export for our compliance team. How long does a full workspace export typically take?,Neutral,Enterprise,UK
660,NPS Response,2025-05-07,1,The API is poorly documented and rate limits are aggressive. Hard to build on.,Negative,Startup,Australia
661,Google Play Review,2026-04-13,1,Email notifications don't thread. My inbox is a disaster zone.,Negative,SMB,UK
662,Support Ticket,2025-04-21,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Neutral,SMB,India
663,Support Ticket,2025-10-19,,The Zapier integration is not triggering on task creation. Was working yesterday. Zap ID 8834221.,Negative,SMB,US
664,G2 Review,2025-07-06,4,reliable for day-to-day work. advanced use cases require workarounds.,Neutral,SMB,US
665,App Store Review,2026-03-27,1,The mobile app UX feels like an afterthought. Desktop is fine but mobile is a joke.,Negative,Startup,US
666,G2 Review,2025-07-28,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,Enterprise,Canada
667,Google Play Review,2026-03-22,3,It's a tool. I use it. It works mostly. That's about all I can say.,Neutral,SMB,US
668,Google Play Review,2025-08-27,1,Honestly the integration marketplace is embarrassing. 12 integrations? Really?,Negative,Enterprise,UK
669,Support Ticket,2025-11-24,,Our API key suddenly stopped working with 401 errors. Nothing changed on our side.,Neutral,Startup,US
670,Google Play Review,2026-03-10,1,Hidden costs everywhere. Want SSO? Pay more. Want advanced reporting? Pay more. Want to breathe? Pay more.,Negative,Enterprise,US
671,Google Play Review,2025-11-04,5,been using this for 2 years now and it just keeps getting better. support team is amazing too,Positive,SMB,Canada
672,App Store Review,2025-08-30,1,The recent UI redesign made everything worse. Took me a week to find basic features.,Negative,Startup,UK
673,Google Play Review,2026-03-13,5,Great value for small teams. The startup pricing tier is generous.,Positive,Startup,India
674,Support Ticket,2026-03-04,,can you push me an invoice with our updated VAT number? current one is wrong,Negative,Enterprise,Australia
675,App Store Review,2025-05-03,2,No custom reports. No dashboards worth looking at. Just basic pie charts from 2015.,Negative,SMB,Canada
676,Support Ticket,2025-08-11,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Negative,Enterprise,UK
677,Support Ticket,2025-09-14,,Search returns no results even when I search for exact task names. Index issue?,Negative,SMB,US
678,G2 Review,2025-08-08,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,SMB,India
679,Support Ticket,2026-02-01,,I was charged twice for my subscription this month. Please refund. Invoice #88231.,Negative,Enterprise,UK
680,G2 Review,2025-09-19,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day. Really grateful.,Positive,SMB,UK
681,App Store Review,2026-01-15,4,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,UK
682,G2 Review,2026-01-13,2,"Dashboards are static, ugly, and don't drill down. We're looking at Tableau as a replacement.",Negative,Startup,Canada
683,Google Play Review,2025-05-17,2,"Timeline view is pretty but useless - can't link tasks, can't show critical path, can't collapse phases. Please fix.",Negative,SMB,US
684,G2 Review,2026-03-05,5,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,SMB,Australia
685,App Store Review,2025-07-17,2,android app force closes whenever i try to edit a task. unusable o nmobile rn,Negative,SMB,UK
686,Google Play Review,2025-08-31,1,"Reporting exports to CSV only - no PDF, no scheduled delivery, no charts. What year is this?",Negative,SMB,US
687,Support Ticket,2025-05-31,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Negative,Startup,US
688,G2 Review,2025-06-20,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,SMB,UK
689,NPS Response,2025-06-04,3,"This tool has genuinely transformed how our team works, but need pivot tables in reports. desperately. been asking for 18 months.",Neutral,Enterprise,US
690,G2 Review,2025-06-14,1,I spent 40 minutes yesterday manually reassigning tasks because there's no bulk reassign. Madness. Notifications are out of control. I get 200+ emails a day. No granular controls at all.,Negative,Enterprise,US
691,G2 Review,2025-08-20,5,love love love this tool. my whole startup runs on it,Positive,SMB,India
692,NPS Response,2025-08-09,2,Reliable for day-to-day work. Advanced use cases require workarounds.,Neutral,SMB,India
693,Google Play Review,2025-10-28,2,Loading spinners everywhere. This used to be snappy - what happened?,Negative,SMB,Australia
694,Support Ticket,2026-03-26,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Negative,Enterprise,India
695,NPS Response,2026-02-21,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day. Really grateful.,Positive,SMB,UK
696,G2 Review,2025-11-20,2,Reliable fo rday-to-day work. Advanced use cases require workarounds.,Neutral,Startup,US
697,NPS Response,2025-12-14,3,"5 stars, but onboarding quality is inversely proportional to the price we pay. this should be easier.",Neutral,SMB,India
698,G2 Review,2025-07-21,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,SMB,US
699,Support Ticket,2025-08-27,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Negative,SMB,US
700,G2 Review,2025-09-25,5,moved our entire engineering org over from jira and productivity measurably increased. thank you. Highly recommend.,Positive,Startup,US
701,G2 Review,2025-11-18,2,"Takes forever to load on my laptop. Even on wifi it lags constantly. No bulk editing. I have to update 200 tasks one by one. This is 2026, what is happening?",Negative,Enterprise,Australia
702,Support Ticket,2025-10-24,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,SMB,US
